Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Load.LOAD 07,    10.4594,   -26.68,    10.4594,  -146.68,    10.4594,    93.32, 2.0351E-009,  -146.67,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 08,    10.4984,   -26.77,    10.4984,  -146.77,    10.4984,    93.23, 2.04253E-009,  -146.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 09,    2.97716,   -18.56,    2.97716,  -138.56,    2.97716,   101.44, 5.78856E-010,  -138.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 10,      2.979,   -18.58,      2.979,  -138.58,      2.979,   101.42, 5.79074E-010,  -138.68,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 11,    2.54851,   -33.90,    2.54851,  -153.90,    2.54851,    86.10, 4.95404E-010,  -154.01,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 12,    3.27189,   -30.44,    3.27189,  -150.44,    3.27189,    89.56, 6.36077E-010,  -150.56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 13,    3.28296,   -30.44,    3.28296,  -150.44,    3.28296,    89.56, 6.37789E-010,  -150.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 14,     6.8266,   -33.91,     6.8266,  -153.91,     6.8266,    86.09, 1.32538E-009,  -154.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 15,    2.88527,    -9.82,    2.88527,  -129.82,    2.88527,   110.18, 5.60226E-010,  -130.01,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 16,     3.0029,   -18.57,     3.0029,  -138.57,     3.0029,   101.43, 5.83068E-010,  -138.75,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 17,    3.01294,   -18.56,    3.01294,  -138.56,    3.01294,   101.44, 5.84864E-010,  -138.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 18,    4.69713,   -24.08,    4.69713,  -144.08,    4.69713,    95.92, 9.11863E-010,  -144.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 19,    4.51125,   -23.94,    4.51125,  -143.94,    4.51125,    96.06, 8.80054E-010,  -143.94,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 20,    4.57251,   -24.02,    4.57251,  -144.02,    4.57251,    95.98, 8.91071E-010,  -144.03,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 21,    4.58982,   -24.06,    4.58982,  -144.06,    4.58982,    95.94, 8.94124E-010,  -144.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 22,    4.60623,   -24.12,    4.60623,  -144.12,    4.60623,    95.88, 8.9663E-010,  -144.16,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 23,    4.78771,   -29.02,    4.78771,  -149.02,    4.78771,    90.98, 9.32149E-010,  -149.01,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 24,    21.8425,   -25.44,    21.8425,  -145.44,    21.8425,    94.56, 4.24856E-009,  -145.43,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 25,    21.9872,   -25.43,    21.9872,  -145.43,    21.9872,    94.57, 4.27369E-009,  -145.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 26,     3.0393,   -22.57,     3.0393,  -142.57,     3.0393,    97.43, 5.91327E-010,  -142.56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 27,    3.04425,   -22.56,    3.04425,  -142.56,    3.04425,    97.44, 5.92187E-010,  -142.55,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 28,    2.98079,   -18.34,    2.98079,  -138.34,    2.98079,   101.66, 5.79398E-010,  -138.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 29,    6.57885,   -30.20,    6.57885,  -150.20,    6.57885,    89.80, 1.27854E-009,  -150.21,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 30,    30.0822,   -71.48,    30.0822,   168.52,    30.0822,    48.52, 5.84562E-009,   168.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 31,    7.89652,   -25.08,    7.89652,  -145.08,    7.89652,    94.92, 1.53365E-009,  -145.16,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 32,     11.099,   -25.53,     11.099,  -145.53,     11.099,    94.47, 2.15535E-009,  -145.61,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 33,    3.44129,   -33.81,    3.44129,  -153.81,    3.44129,    86.19, 6.68205E-010,  -153.91,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
